data_captura,codigo_composicao,descricao_composicao,unidade_composicao,codigo_item,descricao_item,unidade_item,tipo_item,coeficiente
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,P9821,Pedreiro,h,INSUMO,1.0
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado,dm³,INSUMO,1.0
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0786,Placa de poliestireno expandido (EPS),m³,INSUMO,0.00627
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado - Caminhão carroceria 15 t,0.0032,INSUMO,5914655.0
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0786,Placa de poliestireno expandido (EPS) - Caminhão carroceria 15 t,7e-05,INSUMO,5914655.0
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado - Caminhão carroceria 15 t,tkm,INSUMO,0.0032
2026-07-22,00307731,Aparelho de apoio de neoprene fretado para estruturas moldadas no local - fornecimento e instalação,dm³,M0786,Placa de poliestireno expandido (EPS) - Caminhão carroceria 15 t,tkm,INSUMO,0.00167
2026-07-22,00307732,Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,dm³,P9821,Pedreiro,h,INSUMO,0.16666666666666666
2026-07-22,00307732,Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado,dm³,INSUMO,1.0
2026-07-22,00307732,Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado - Caminhão carroceria 15 t,0.0032,INSUMO,5914655.0
2026-07-22,00307732,Aparelho de apoio de neoprene fretado para estruturas pré-moldadas - fornecimento e instalação,dm³,M0798,Apoio de neoprene fretado - Caminhão carroceria 15 t,tkm,INSUMO,0.0032
2026-07-22,00308308,Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.240965
2026-07-22,00308308,Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,2.0
2026-07-22,00308308,Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.5
2026-07-22,00308308,Aparelho de apoio metálico elastomérico fixo com capacidade de 1.500 kN - fornecimento e instalação,un,M2758,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 1.500 kN,un,INSUMO,1.0
2026-07-22,00308313,Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.24096
2026-07-22,00308313,Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,4.0
2026-07-22,00308313,Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,1.0
2026-07-22,00308313,Aparelho de apoio metálico elastomérico fixo com capacidade de 10.000 kN - fornecimento e instalação,un,M2763,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 10.000 kN,un,INSUMO,1.0
2026-07-22,00308309,Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.24096571428571428
2026-07-22,00308309,Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,2.2857142857142856
2026-07-22,00308309,Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.5714285714285714
2026-07-22,00308309,Aparelho de apoio metálico elastomérico fixo com capacidade de 2.500 kN - fornecimento e instalação,un,M2759,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 2.500 kN,un,INSUMO,1.0
2026-07-22,00308310,Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.2409625
2026-07-22,00308310,Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,2.5
2026-07-22,00308310,Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.625
2026-07-22,00308310,Aparelho de apoio metálico elastomérico fixo com capacidade de 4.000 kN - fornecimento e instalação,un,M2760,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 4.000 kN,un,INSUMO,1.0
2026-07-22,00308311,Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.24096551724137932
2026-07-22,00308311,Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,2.7586206896551726
2026-07-22,00308311,Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.6896551724137931
2026-07-22,00308311,Aparelho de apoio metálico elastomérico fixo com capacidade de 5.500 kN - fornecimento e instalação,un,M2761,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 5.500 kN,un,INSUMO,1.0
2026-07-22,00308312,Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.24096
2026-07-22,00308312,Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,3.2
2026-07-22,00308312,Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.8
2026-07-22,00308312,Aparelho de apoio metálico elastomérico fixo com capacidade de 7.500 kN - fornecimento e instalação,un,M2762,Aparelho de apoio metálico elastomérico fixo com 4 chumbadores e capacidade de 7.500 kN,un,INSUMO,1.0
2026-07-22,00308307,Aparelho de apoio metálico elastomérico fixo com capacidade de 700 kN - fornecimento e instalação,un,E9050,Guindaste móvel sobre pneus com 2 eixos com capacidade de 18 t - 97 kW,1,INSUMO,0.240964
2026-07-22,00308307,Aparelho de apoio metálico elastomérico fixo com capacidade de 700 kN - fornecimento e instalação,un,P9801,Ajudante,h,INSUMO,1.6
2026-07-22,00308307,Aparelho de apoio metálico elastomérico fixo com capacidade de 700 kN - fornecimento e instalação,un,P9830,Montador,h,INSUMO,0.4
