data_captura,codigo_insumo,descricao_insumo,unidade,preco_mediano,uf,data_referencia,desonerado
2026-06-12,I001,Cimento Portland CP III-40,t,740.0,ES,2026-01,True
2026-06-12,I002,Areia lavada comercial,m3,85.0,ES,2026-01,True
2026-06-12,I003,Pedra britada n. 2 (19 a 25 mm),m3,72.5,ES,2026-01,True
2026-06-12,I004,Aço CA-50 de 10mm (vergalhão),kg,9.1,ES,2026-01,True
2026-06-12,I005,Emulsão asfáltica RR-2C,t,5200.0,ES,2026-01,True
2026-06-12,I006,Pedreiro (custo horário padrão),h,26.5,ES,2026-01,True
2026-06-12,I007,Servente (custo horário padrão),h,19.2,ES,2026-01,True
2026-06-12,I008,Operador de escavadeira (custo horário padrão),h,32.0,ES,2026-01,True
2026-06-13,M0003,Aço CA 25,kg,68322.0,ES,2026-01,True
2026-06-13,M0004,Aço CA 50,kg,62679.0,ES,2026-01,True
2026-06-13,M0005,Brita 0,m³,2019347.0,ES,2026-01,True
2026-06-13,M0006,Fibra de poliamida para concreto,kg,274901.0,ES,2026-01,True
2026-06-13,M0007,Fibra de aço para concreto,kg,179647.0,ES,2026-01,True
2026-06-13,M0008,Detergente líquido neutro,l,40861.0,ES,2026-01,True
2026-06-13,M0009,Aço CP 175 RB,kg,91204.0,ES,2026-01,True
2026-06-13,M0010,Aditivo superplastificante à base de policarboxilato para concreto e argamassa,kg,135415.0,ES,2026-01,True
2026-06-13,M0011,Aditivo modificador de viscosidade para concreto e argamassa,kg,8573.0,ES,2026-01,True
2026-06-13,M0012,Silicato de alumínio,kg,20377.0,ES,2026-01,True
2026-06-13,M0013,"Grampo de ancoragem em aço CA 50 - D = 12,5 mm",kg,62679.0,ES,2026-01,True
2026-06-13,M0014,Aço CA 60,kg,77872.0,ES,2026-01,True
2026-06-13,M0015,"Espoleta elétrica Nº 8 - D = 6,0 mm",un,192988.0,ES,2026-01,True
2026-06-13,M0016,"Grampo sargento em ferro fundido tipo C com abertura útil de 105 mm (4"")",un,425166.0,ES,2026-01,True
2026-06-13,M0017,Saco de aniagem ou de ráfia de 50 kg - C = 95 cm e L = 65 cm,un,27761.0,ES,2026-01,True
2026-06-13,M0018,"Grampo pesado em aço-carbono para cabo de aço - D = 13 mm (1/2"")",un,183146.0,ES,2026-01,True
2026-06-13,M0019,Esticador em aço tipo olhal x olhal para cabo de aço - D = 13 mm,un,1490814.0,ES,2026-01,True
2026-06-13,M0020,"Grampo de ancoragem em aço CA 50 - D = 6,3 mm",kg,73954.0,ES,2026-01,True
